timestamp_ms,vehicles_left,intensity_left,vehicles_right,intensity_right
4300.0,1,Smooth,0,Smooth
4333.333333333333,1,Smooth,1,Smooth
4366.666666666666,1,Smooth,0,Smooth
4400.0,1,Smooth,1,Smooth
4433.333333333334,1,Smooth,1,Smooth
4466.666666666667,1,Smooth,1,Smooth
4500.0,1,Smooth,1,Smooth
4533.333333333333,1,Smooth,1,Smooth
4566.666666666666,1,Smooth,1,Smooth
4600.0,1,Smooth,1,Smooth
4633.333333333333,1,Smooth,1,Smooth
4666.666666666667,1,Smooth,1,Smooth
4700.0,1,Smooth,1,Smooth
4733.333333333333,1,Smooth,1,Smooth
4766.666666666667,1,Smooth,1,Smooth
4800.0,1,Smooth,1,Smooth
4833.333333333333,1,Smooth,1,Smooth
4866.666666666666,1,Smooth,2,Smooth
4900.0,1,Smooth,1,Smooth
4933.333333333334,1,Smooth,1,Smooth
4966.666666666667,1,Smooth,1,Smooth
5000.0,1,Smooth,1,Smooth
5033.333333333333,2,Smooth,1,Smooth
5066.666666666666,2,Smooth,1,Smooth
5100.0,2,Smooth,1,Smooth
5133.333333333333,2,Smooth,1,Smooth
5166.666666666667,2,Smooth,1,Smooth
5200.0,2,Smooth,1,Smooth
5233.333333333333,2,Smooth,1,Smooth
5266.666666666667,2,Smooth,1,Smooth
5300.0,2,Smooth,1,Smooth
5333.333333333333,2,Smooth,1,Smooth
5366.666666666666,2,Smooth,1,Smooth
5400.0,2,Smooth,1,Smooth
5433.333333333334,2,Smooth,1,Smooth
5466.666666666667,2,Smooth,1,Smooth
5500.0,2,Smooth,1,Smooth
5533.333333333333,2,Smooth,1,Smooth
5566.666666666666,2,Smooth,1,Smooth
5600.0,2,Smooth,1,Smooth
5633.333333333333,2,Smooth,1,Smooth
5666.666666666667,2,Smooth,1,Smooth
5700.0,1,Smooth,1,Smooth
5733.333333333333,1,Smooth,1,Smooth
5766.666666666667,1,Smooth,1,Smooth
5800.0,1,Smooth,1,Smooth
5833.333333333333,1,Smooth,1,Smooth
5866.666666666666,1,Smooth,1,Smooth
5900.0,1,Smooth,1,Smooth
